"Edu2.FM","Labour.FM","Edu.Expected","GNI","Maternal.Mortality","Percent.Parliament.F"
"Suriname",0.94692144373673,0.588662790697674,12.7,15617,130,11.8
"Maldives",0.834862385321101,0.725161290322581,13,12328,31,5.9
"Samoa",1.07166666666667,0.402397260273973,12.9,5327,58,6.1
"Botswana",0.944801026957638,0.881127450980392,12.5,16646,170,9.5
"Moldova (Republic of)",0.968944099378882,0.850678733031674,11.9,5223,21,20.8
"Egypt",0.724422442244224,0.316844919786096,13.5,10512,45,2.2
"Gabon",1.49307479224377,0.859327217125382,12.5,16367,240,16.2
"Indonesia",0.810975609756098,0.610451306413302,13,9788,190,17.1
"Paraguay",0.855813953488372,0.65683962264151,11.9,7643,110,16.8
"Philippines",1.03453689167975,0.641154328732748,11.3,7915,120,27.1
"El Salvador",0.844036697247706,0.605063291139241,12.3,7349,69,27.4
"South Africa",0.957839262187088,0.735537190082645,13.6,12122,140,40.7
"Viet Nam",0.834269662921348,0.888077858880779,11.9,5092,49,24.3
"Bolivia (Plurinational State of)",0.805414551607445,0.793572311495674,13.2,5760,200,51.8
"Kyrgyzstan",0.976239669421488,0.70440251572327,12.5,3044,75,23.3
"Iraq",0.553784860557769,0.213467048710602,10.1,14003,67,26.5
"Guyana",1.26150627615063,0.529192546583851,10.3,6522,250,31.3
"Nicaragua",1.02872062663185,0.590286425902864,11.5,4457,100,39.1
"Morocco",0.685430463576159,0.349604221635884,11.6,6850,120,11
"Namibia",0.968023255813953,0.858712715855573,11.3,9418,130,37.7
"Guatemala",0.943965517241379,0.558956916099773,10.7,6929,140,13.3
"Tajikistan",1.04276315789474,0.763942931258106,11.2,2517,44,15.2
"India",0.477031802120141,0.337922403003755,11.7,5497,190,12.2
"Honduras",1.08527131782946,0.516284680337756,11.1,3938,120,25.8
"Bhutan",0.985507246376812,0.863989637305699,12.6,7176,120,8.3
"Syrian Arab Republic",0.728395061728395,0.185694635488308,12.3,2728,49,12.4
"Congo",0.84468085106383,0.938356164383562,11.1,6012,410,11.5
"Zambia",0.586363636363636,0.853971962616822,13.5,3734,280,12.7
"Ghana",0.698608964451314,0.942577030812325,11.5,3852,380,10.9
"Bangladesh",0.825665859564165,0.682520808561237,10,3191,170,20
"Cambodia",0.432314410480349,0.910982658959538,10.9,2949,170,19
"Kenya",0.805732484076433,0.859116022099447,11,2762,400,20.8
"Nepal",0.463350785340314,0.917336394948335,12.4,2311,190,29.5
"Pakistan",0.418655097613883,0.296743063932449,7.8,4866,170,19.7
"Myanmar",1.49673202614379,0.913730255164034,8.6,4608,200,4.7
"Swaziland",0.842307692307692,0.613128491620112,11.3,5542,310,14.7
"Tanzania (United Republic of)",0.589473684210526,0.976718403547672,9.2,2411,410,36
"Cameroon",0.610315186246418,0.830729166666667,10.4,2803,590,27.1
"Zimbabwe",0.785483870967742,0.927536231884058,10.9,1615,470,35.1
"Mauritania",0.397129186602871,0.36283185840708,8.5,3560,320,22.2
"Papua New Guinea",0.524137931034483,0.952702702702703,9.9,2463,220,2.7
"Yemen",0.322097378277154,0.35180055401662,9.2,3519,270,0.7
"Lesotho",1.15263157894737,0.802721088435374,11.1,3306,490,26.8
"Togo",0.399503722084367,0.991389913899139,12.2,1228,450,17.6
"Haiti",0.636363636363636,0.857746478873239,8.7,1669,380,3.5
"Rwanda",0.909090909090909,1.01289566236811,10.3,1458,320,57.5
"Uganda",0.683582089552239,0.957070707070707,9.8,1613,360,35
"Benin",0.418518518518519,0.863346104725415,11.1,1767,340,8.4
"Sudan",0.664835164835165,0.411842105263158,7,3809,360,23.8
"Senegal",0.467532467532468,0.75,7.9,2188,320,42.7
"Afghanistan",0.197986577181208,0.19874213836478,9.3,1885,400,27.6
"Côte d'Ivoire",0.465116279069767,0.643734643734644,8.9,3171,720,9.2
"Malawi",0.513888888888889,1.03803680981595,10.8,747,510,16.7
"Ethiopia",0.428571428571429,0.875699888017917,8.5,1428,420,25.5
"Gambia",0.552380952380952,0.870928829915561,8.8,1507,430,9.4
"Congo (Democratic Republic of the)",0.395061728395062,0.965846994535519,9.8,680,730,8.2
"Liberia",0.391857506361323,0.898148148148148,9.5,805,640,10.7
"Mali",0.509933774834437,0.624078624078624,8.4,1583,550,9.5
"Mozambique",0.225806451612903,1.03260869565217,9.3,1123,480,39.6
"Sierra Leone",0.460829493087558,0.952173913043478,8.6,1780,1100,12.4
"Burkina Faso",0.28125,0.856666666666667,7.8,1591,400,13.3
"Burundi",0.63855421686747,1.01585365853659,10.1,758,740,34.9
"Chad",0.171717171717172,0.808080808080808,7.4,2085,980,14.9
"Central African Republic",0.378277153558052,0.853113983548766,7.2,581,880,12.5
"Niger",0.307692307692308,0.445930880713489,5.4,908,630,13.3
